,Disaccharide,Tetrasaccharide,Trisaccharide,valine-d8
AB08_Heart_001,227728.8426,2626877.1749999998,381993.0331,734774283.60000002
AB08_Heart_002,952719.39670000004,16328033.109999999,6719076.7139999997,821536162.60000002
AB08_Heart_003,282853.33250000002,10163600.789999999,2638638.6310000001,762040077.89999998
AB08_Heart_004,589785.99329999997,8781925.5529999994,3611880.2310000001,817638420.79999995
AB08_Heart_005,9063985.4949999992,47158157.399999999,41202058.039999999,818052806.20000005
AB08_Heart_006,6398353.0039999997,33518380.41,31723276.25,770580099.89999998
AB08_Heart_007,5619826.034,14045759.65,18691495.960000001,810685646.20000005
AB08_Heart_008,4350095.4069999997,25383000.329999998,24127289.16,790923782.89999998
AB08_Heart_009,8343591.0769999996,5669924.5439999998,14787458.720000001,816872784.10000002
AB08_Heart_010,6830730.3760000002,4901347.1239999998,10644420.41,742071694.29999995
AB08_Heart_011,29016190.440000001,41232980.259999998,69301269.739999995,734351532.60000002
AB08_Heart_012,40788472.200000003,96054445.849999994,110649571.8,782277896.70000005
AB08_Heart_013,11106794.529999999,6813794.6869999999,12564156.35,752559808.60000002
AB08_Heart_014,11002585.84,5880108.0769999996,9131823.2829999998,754968921
AB08_Heart_015,11446393.08,5464102.1220000004,11299574.65,760539843.20000005
AB08_Heart_016,5991704.949,9976596.7200000007,13964756.880000001,728356617.29999995
AB08_Liver_017,1820237.176,6015287.449,3339758.3700000001,930885070.20000005
AB08_Liver_018,471815.1262,23115277.710000001,8478566.6349999998,865366404.5
AB08_Liver_019,1274979.041,23498348.800000001,11696281.060000001,738036944.20000005
AB08_Liver_020,1983429.4990000001,27738665.010000002,12188922.9,777808219.70000005
AB08_Liver_021,29707801.359999999,83475460.25,86459261.629999995,793044587.89999998
AB08_Liver_022,36432428.630000003,122741544.90000001,112354900,763705470.10000002
AB08_Liver_023,57419783.280000001,145106672.69999999,166488809,733458473.5
AB08_Liver_024,38345210.509999998,121651118,122313372.40000001,752891415.39999998
AB08_Liver_025,124214123.5,261415140.90000001,365854665.19999999,769385678.79999995
AB08_Liver_026,68805070.120000005,62908178.259999998,123161705.8,767030112.60000002
AB08_Liver_027,111503028,350382310.39999998,367824947.10000002,705816972.70000005
AB08_Liver_028,99105255.989999995,434152835,410763296.19999999,724287708.89999998
AB08_Liver_029,104126119.90000001,43659875.689999998,132637567,761801733.39999998
AB08_Liver_030,18367893.57,24889211.190000001,18831437.079999998,704039452.70000005
AB08_Liver_031,47010058.289999999,35449372.960000001,53309172.909999996,719823329.60000002
AB08_Liver_032,88326589.519999996,52021124.020000003,128578372.40000001,708915888
AB01_001,1477288.686,1325211.9669999999,1609518.298,627815868
AB01_002,2587740.0159999998,3587808.5529999998,5325953.7060000002,703666837.5
AB01_003,4494054.7529999996,6410559.9890000001,8352181.466,679891075.39999998
AB01_004,18674263.98,3767809.949,8261930.3059999999,709586152.70000005
AB01_005,2533916.5830000001,1102558.8430000001,2001871.595,695864974.29999995
AB01_006,3428401.4780000001,3481510.3620000002,4906986.9009999996,642446888.89999998
AB01_007,6248389.0710000005,6630226.8109999998,8040773.483,660862415.5
AB01_008,19898571.82,21622906.32,24719218.329999998,667087235.60000002
AB01_009,109303590,81920395.579999998,133758128.2,641915597.39999998
AB01_010,237928083,189568110.5,331572068.30000001,657653179.29999995
AB01_011,452326.3161,510947.50689999998,871135.33829999994,687159299.79999995
AB01_012,314198.24599999998,260646.24960000001,215211.85579999999,692812155.29999995
AB01_013,495325.22100000002,238299.3664,397510.10950000002,687519736.70000005
AB01_014,483118.7855,196086.9191,171574.16800000001,699161811.60000002
AB01_015,976088.70090000005,895531.83730000001,1617010.5009999999,670621058.39999998
AB01_016,2028341.3929999999,0,14740056.42,851817706.39999998
AB01_017,1581327.601,0,13660872.880000001,653358712.70000005
AB01_018,1983589.0390000001,3209699.2409999999,13034300.51,661015318.29999995
AB01_019,1187245.952,0,11649908.35,626669499.5
AB01_020,1632989.25,2140557.2280000001,12003224.07,624801185.20000005
AB01_021,1565884.6359999999,1513725.0549999999,1907065.2150000001,636187178.5
AB01_022,29694596.460000001,32485632.920000002,31613488.379999999,654841171.29999995
AB01_023,6169043.6780000003,10998560.18,9626756.8719999995,637066760.60000002
AB01_024,17646913.969999999,39498955.280000001,30493897.440000001,656462161.20000005
AB01_025,4286606.0719999997,4057543.125,6167239.5539999995,676522060
AB01_026,3710274.747,3899834.6740000001,5029533.7139999997,659303338.10000002
AB01_027,3717349.0819999999,2621397.6009999998,4498672.1579999998,668638579.29999995
AB01_028,6082495.3700000001,4797324.0590000004,6938447.6610000003,657816944.60000002
AB01_029,4033045.446,4440310.4210000001,3504162.1170000001,650535908.10000002
AB01_030,3524847.2179999999,3236458.2930000001,2835557.0329999998,688337141.5
AB01_031,6363763.3640000001,10714044.49,12416733.23,619191506
AB01_032,15938340.23,17143428.98,22776461.25,604594945.39999998
AB01_033,50760941.689999998,34876262.659999996,57628643.450000003,597034628
AB01_034,225158400.80000001,151074066.19999999,281900884.19999999,618461047.29999995
AB01_035,806579274.89999998,428643572.89999998,1123699147,600126154.10000002
AB01_036,181501.8463,493014.77480000001,608122.89899999998,674263973.5
AB01_037,355450.79979999998,253705.6502,401664.15720000002,701588631.39999998
AB01_038,684732.41929999995,224012.55679999999,967389.60629999998,687652371.70000005
AB01_039,352585.90059999999,131746.06140000001,130893.2007,688470827.10000002
AB01_040,163883.88,133145.86360000001,82174.026660000003,678817871.39999998
AB01_041,1984436.4210000001,4044446.8470000001,17282262.34,655820172.20000005
AB01_042,8666743.466,11018731.689999999,26761361.890000001,651876467.10000002
AB01_043,2118655.0839999998,2602082.787,14038141.039999999,645813148.60000002
AB01_044,3641228.1129999999,4828277.6260000002,15782636.039999999,640092373.10000002
AB01_045,1488640.1140000001,4612632.5700000003,13440116.58,647619392.20000005
AB01_046,1151592.952,1277769.3430000001,1691335.473,656565456.20000005
AB01_047,2808260.8280000002,6638474.6260000002,6877907.8470000001,654519820.89999998
AB01_048,6523295.8559999997,20096535.960000001,15586679.310000001,643940040.70000005
AB01_049,12479282.42,19622223.870000001,18941550.949999999,657119867.39999998
AB01_050,24929938.640000001,14932810.789999999,19414645.030000001,643851772.70000005
AB01_051,3793058.395,9003001.6140000001,9894086.9010000005,691784078.20000005
AB01_052,6937459.2479999997,26626421.32,27092828.170000002,665583508.79999995
AB01_053,11650772.66,39149620.219999999,45373218.359999999,678487883
AB01_054,9887716.1940000001,11452515.539999999,15576430.25,664271654.60000002
AB01_055,9146120.3829999994,8195056.3559999997,8835599.1060000006,648746823.10000002
AB01_056,9686261.8149999995,30791522.989999998,38766746.659999996,696188150.29999995
AB01_057,31773791.510000002,88709787.140000001,83084278.930000007,648604630.89999998
AB01_058,33705973.740000002,47178722.259999998,57469857.670000002,671218651.10000002
AB01_059,176128794.19999999,167899665.40000001,262844297.59999999,634366594.20000005
